date,price_usd,price_eur
2025-04-22 14:04:38.991,90194.6121299601,78608.48283958182
2025-04-22 15:04:52.197,90772.12442241653,79084.0333654129
2025-04-22 16:09:38.900,90907.45862548235,79340.75721981049
2025-04-22 17:05:40.803,90772.46208096718,79388.77838385517
2025-04-22 18:09:08.855,91486.13734433235,79953.66932911785
2025-04-22 19:04:49.028,91502.62798566568,80074.22425813998
2025-04-22 20:09:47.284,91443.57232155654,80040.55885305844
2025-04-22 21:00:38.567,91181.31706325726,79847.38817097733
2025-04-22 22:04:55.837,92780.03301369656,81558.00968059093
2025-04-22 23:09:36.120,92890.82073039186,81893.5693549415
2025-04-23 00:04:39.568,93518.26130183092,82387.99839647091
2025-04-23 01:05:14.054,92980.77660341187,81577.70714154604
2025-04-23 02:08:21.982,92765.40196195075,81363.14257979757
2025-04-23 03:09:19.281,92861.56559827678,81457.23672715243
2025-04-23 04:09:17.111,93191.46336099145,81921.91288821012
2025-04-23 05:04:47.950,93539.16589703153,82123.64609095782
2025-04-23 06:01:08.330,93533.65711519695,82193.63652655047
2025-04-23 07:04:38.108,93680.63487801861,82281.48154542643
2025-04-23 08:09:29.580,93966.3329099382,82544.34927940356
2025-04-23 09:04:04.276,94294.96451438825,82619.17341828767
2025-04-23 10:06:57.683,93845.59854642389,82200.0166860025
2025-04-23 11:08:12.769,93715.60255843068,82195.51839833302
2025-04-23 12:04:45.244,93491.06534555122,81933.41937433815
2025-04-23 13:04:53.536,93772.95768584043,82220.03552598722
2025-04-23 14:04:59.472,93257.51177479739,82288.09695228684
2025-04-23 15:00:30.700,93028.64308888822,81939.1636894773
2025-04-23 16:04:26.279,93025.32634165006,81970.94076181909
2025-04-23 17:04:59.304,93660.67063956453,82581.92455229299
2025-04-23 18:04:55.546,93871.60137754977,82854.64249667778
2025-04-23 19:04:44.865,93702.96947748295,82752.74676137482
2025-04-23 20:04:33.892,93534.41629158678,82572.36977104539
2025-04-23 21:04:42.310,93720.32472543613,82832.0848394844
2025-04-23 22:05:59.898,93457.78218613163,82506.96001625384
2025-04-23 23:06:23.353,93775.79949419561,82749.54721386862
2025-04-24 00:05:09.302,93692.84058767844,82696.67404494615
2025-04-24 01:05:33.201,93433.21370990733,82359.88295386395
2025-04-24 02:04:52.135,93559.06623076717,82433.77054713419
2025-04-24 03:09:34.846,93177.55820369317,82068.09111662504
2025-04-24 04:06:27.582,92791.86738499445,81837.69464832847
2025-04-24 05:22:45.076,92830.13674508072,81862.99872974338
2025-04-24 06:24:09.724,92422.33360998418,81415.29578870314
2025-04-24 07:14:50.774,92481.314870863,81428.22556144207
2025-04-24 08:00:46.344,92215.58688600673,81049.47811674082
2025-04-24 09:04:47.074,91979.55746381238,80822.5291230094
2025-04-24 10:04:52.429,92439.36671109166,81196.70605295527
2025-04-24 11:04:44.572,92612.10443532834,81384.83162673793
2025-04-24 12:04:51.441,92619.17159627969,81440.13020378031
